
snow | cocaine | en | dea_lexicon
ice | methamphetamine | en | dea_lexicon
molly | MDMA | en | dea_lexicon
acid | LSD | en | dea_lexicon
tabs | LSD blotters | en | dea_lexicon
pills | MDMA/ecstasy tablets | en | dea_lexicon
crystal | methamphetamine | en | dea_lexicon
weed | cannabis | en | dea_lexicon
pot | cannabis | en | dea_lexicon
hash | hashish | en | dea_lexicon
brown sugar | heroin (impure) | en | dea_lexicon
smack | heroin | en | dea_lexicon
meow meow | mephedrone | en | dea_lexicon
coke | cocaine | en | dea_lexicon
blow | cocaine | en | dea_lexicon
bump | cocaine dose | en | dea_lexicon
line | cocaine line | en | dea_lexicon
rock | crack cocaine | en | dea_lexicon
crack | crack cocaine | en | dea_lexicon
speed | amphetamine | en | dea_lexicon
meth | methamphetamine | en | dea_lexicon
glass | methamphetamine | en | dea_lexicon
shard | methamphetamine crystal | en | dea_lexicon
shabu | methamphetamine | en | dea_lexicon
ecstasy | MDMA | en | dea_lexicon
thizz | MDMA/ecstasy | en | dea_lexicon
roll | MDMA session | en | dea_lexicon
rolling | under MDMA influence | en | dea_lexicon
trip | LSD session | en | dea_lexicon
tripping | under LSD influence | en | dea_lexicon
blotter | LSD paper | en | dea_lexicon
dose | LSD dose | en | dea_lexicon
microdot | LSD pill form | en | dea_lexicon
mushroom | psilocybin | en | dea_lexicon
shroom | psilocybin | en | dea_lexicon
boom | psilocybin | en | dea_lexicon
dank | high-quality cannabis | en | dea_lexicon
loud | high-quality cannabis | en | dea_lexicon
kush | cannabis strain | en | dea_lexicon
bud | cannabis flower | en | dea_lexicon
joint | cannabis cigarette | en | dea_lexicon
blunt | cannabis cigar wrap | en | dea_lexicon
bong | cannabis water pipe | en | dea_lexicon
dab | cannabis concentrate | en | dea_lexicon
wax | cannabis concentrate | en | dea_lexicon
shatter | cannabis concentrate | en | dea_lexicon
edible | cannabis edible | en | dea_lexicon
brownie | cannabis edible | en | dea_lexicon
opium | opium | en | dea_lexicon
oxy | oxycodone | en | dea_lexicon
perc | percocet | en | dea_lexicon
vic | vicodin | en | dea_lexicon
norco | hydrocodone | en | dea_lexicon
fent | fentanyl | en | dea_lexicon
patch | fentanyl patch | en | dea_lexicon
lean | codeine/promethazine drink | en | dea_lexicon
sizzurp | codeine/promethazine drink | en | dea_lexicon
xan | xanax | en | dea_lexicon
bar | xanax bar | en | dea_lexicon
benzo | benzodiazepine | en | dea_lexicon
valium | diazepam | en | dea_lexicon
klonopin | clonazepam | en | dea_lexicon
addie | adderall | en | dea_lexicon
addy | adderall | en | dea_lexicon
ritalin | methylphenidate | en | dea_lexicon
ghb | gamma-hydroxybutyrate | en | dea_lexicon
liquid ecstasy | GHB | en | dea_lexicon
special k | ketamine | en | dea_lexicon
k | ketamine | en | dea_lexicon
ket | ketamine | en | dea_lexicon
PCP | phencyclidine | en | dea_lexicon
angel dust | PCP | en | dea_lexicon
piper | synthetic cannabinoid | en | dea_lexicon
spice | synthetic cannabinoid | en | dea_lexicon
k2 | synthetic cannabinoid | en | dea_lexicon
bath salts | synthetic cathinone | en | dea_lexicon
flakka | alpha-PVP | en | dea_lexicon
nbome | 25I-NBOMe | en | dea_lexicon
n-bomb | 25I-NBOMe | en | dea_lexicon

